audio,text
./dataset/rickey/rickey_010.mp3,欢迎大家收听节目。我是理查德 · 霍桑，欢迎大家收听双点广播电台的选举日特别节目。今天，双点县将再次迈出历史性的重要一步，走向未来，而我们的节目也将谈论各种与县长有关的内容。欢迎大家联系广播电台，将自己的感想与观点分享出来。谁会成为双点县的下一位县长？你说了算！
./dataset/rickey/rickey_012.mp3,节目继续。在今天的选举中，在职县长塔贝莎 · 丰斯克将与所有挑战者正面交锋。其中一位挑战者便是甘宝 · 麦克纳。没错，他就是巨无霸集团总裁金宝 · 麦克纳的表弟。在之前的民意调查中，丰斯克女士一路领先麦克纳先生。对这个局面，有人欢喜有人忧。但今天麦克纳先生做出的最后演讲，又会对局势产生怎样的影响呢？为没能听到演讲的听众简述一下内容：麦克纳先生足足讲了 12 分钟，详细描述了自己如何从父亲那里继承了一笔可观的财产，并用这笔钱开发出了一种包含三明治、薯片和香肠卷味道的午餐酱。哈哈哈，这也太厉害了。
./dataset/rickey/rickey_014.mp3,熏镇的米雪说：“有一次问答活动后，我和丰斯克县长聊过几句。我当时和她说，我给她写了一封信。她说自己记得读过那封信，可我根本没有把信寄出去啊！所以说，是她闯进了我家，还是说她会读心术，可以预知别人写信的内容？” 真是一件趣事啊，米雪。有这么一位高瞻远瞩的县长，我们真是三生有幸！
./dataset/rickey/rickey_016.mp3,今天是双点县的选举日。还有没有人记得，曾经有一年，政府试图用低端科技制造的手机应用程序举办选举？当时到底是应用程序无法正常工作，还是完全没人投票？真是想想都觉得神奇。这就是尖端科技带来的神秘奇迹啊！不管怎么说，但愿今年会有人投出神圣的一票吧。
./dataset/rickey/rickey_018.mp3,凋萎顿的杰弗里发来消息，说：“我觉得平时的生活还好。但我也感觉，事情本可以变得更好？我觉得，我可以代表大家说：没错，也许事情确实可以变得更好。” 杰弗里，感谢你这些充满智慧的话语。
./dataset/rickey/rickey_020.mp3,真相大白的时刻即将到来。本记者的内心充满了立法权力带来的激动，正在砰砰狂跳。在等待计票结果的同时，我也有些话想对大家说。上周末我和邻居聊了两句。他说自己只有在走进投票亭的那一刻，才会决定要把票投给谁——而判断的方式，则是看哪位候选人的名字比较搞笑。通过这一点也不难看出，我们每个人心中都有两面：井井有条、方法分明的一面，和疯狂不羁、难以预料的一面。
./dataset/rickey/rickey_022.mp3,投票结果已经出炉！根据当前消息，塔贝莎 · 丰斯克县长又以极大优势当选了。对这个结果，肯定也是几家欢喜几家愁吧。不过，可以肯定的是，这是民主制度的再一次胜利。这也就是说，双点县的人民再一次得到了自己想要的一切。我们已经铺下了自己的床单，接下来就只要躺上去睡一觉了。祝大家晚安。
./dataset/rickey/rickey_024.mp3,大家好，我是瑞奇 · 霍桑，欢迎大家收听节目。今天早上开车的时候，一辆汽车满载着一群自以为是的愣头青，高速超过了我。我也不知道他们到底在大声吼着什么，不过感觉一定很有趣，哈哈哈。所以今天，我决定向年轻人致敬，给你们讲几个我当年的故事。这可不完全是因为我什么内容也没准备哦！兴致上来了嘛。
./dataset/rickey/rickey_026.mp3,为那些不太了解我早年经历的听众们讲解一下：我生在双点县，长在双点县，成年后还加入了当时的 “双点县大学” 就读。大学的名字到现在好像也没改，不过反正当时就叫这个。好了，接下来就给大家分享一些我当年的趣事吧！不过首先，我们来听首好歌。
./dataset/rickey/rickey_028.mp3,说起食物，我觉得，有时候最简单的才是最好的。别误会，我感觉，自己如今可以吃到各种各样的东西，确实很幸运。从鸡肉三明治，到形状长度各异、变化无穷的意大利面，应有尽有。不过我永远不会忘记，自己在大学时仅靠着一块巨型奶酪果腹度日的经历。学期结束时，大家说我身体的大部分已经变成了奶酪。而我呢？我觉得他们说得对。
./dataset/rickey/rickey_030.mp3,某年夏天，我和一群朋友驾车北上，跑到了跌落镇，游览一处钓鱼圣地。我跟大家说，那种自由的感觉真是无可比拟。一群朋友戴着配套的帽子，再带上一大堆古董鱼饵。那日子，真是给个县长也不换。
./dataset/rickey/rickey_032.mp3,听众们也许想不到，但我霍桑年轻的时候也是个恶作剧大师呢。哈哈哈。没错，有一次，我跟朋友趁夜跑进了学校，用几千只软芯绘画铅笔替换掉了学校的硬芯普通铅笔。真希望大家能看到费泽布里奇老师转天早上签到时脸上的表情啊！哈哈哈哈！那家伙简直气疯了。很不幸，我的两个朋友却因为非法侵入罪被学校开出了。所以说，孩子们，不要擅闯私人领地哦！
./dataset/rickey/rickey_034.mp3,我要强调一点：我并不觉得年轻人的生活应该全都是钓鱼和胡闹。完全不是。年轻的我也从各种导师和榜样那里学到了不少东西。我永远也不会忘记大学教我 “高阶思考概论” 那位教授的话。他曾经对我说：“瑞奇，你这辈子也没法听懂我讲的东西。”结果还真被他给说中了！这位教授果然很睿智。
./dataset/rickey/rickey_036.mp3,感谢大家陪着我一起怀念旧日时光。节目结束之前，我想提醒大家：光辉岁月并不只属于年轻人。实话实说，除了在双点广播电台陪伴大家，我别无所求…… 今天的节目由低端科技猫砂赞助。低端科技猫砂盆，让您的小猫 “方便” 无忧！
./dataset/rickey/rickey_038.mp3,欢迎收听双点广播电台。我是瑞奇 · 霍桑。最近有个很流行的词——斜杠青年，也就是多重职业者。诶，我也是斜杠青年一枚。除了被大家所熟知的主持人身份外，我还是一名厨师哟！没错，今天就跟大家分享一下我最近的美食之旅，带大家走遍双点县，领略我们县城里最高品质的美食。一人一车，自驾走天下，讲述历史沉淀下来的故事。
./dataset/rickey/rickey_040.mp3,这大千世界中的美食世界也有着千差万别的地域特色、五味俱全的感官体验，还有错综复杂的道路绕得你晕头转向。正所谓人在迷途啊。我在偏离正道 60 英里的某处，终于吃到了我这趟旅行的第一餐——一种千层酥皮面点，里面夹着的好像是肉类的馅料。这类似肉肠的香味，配上面皮中黄油的奶香，再混上一丝丝我车载清新剂松木的味道，那叫一个 “别有一番滋味”、“别有一番惊险” 啊——这东西是夹生的。
./dataset/rickey/rickey_042.mp3,要我说，双点县最好的奶昔产地当属霍格思波特。在油腻鸬鹚，奶昔采用传统麦芽发酵酿制而成。麦香奶昔盛入旧皮靴后，再加入盐醋腌制过的鸡蛋。这口味，敢问谁能比得过？奶昔是我们这的传统美食，我们血液中都流淌奶昔。有一次，我喝了十几瓶奶昔，结果被送往医院救治。检查结果显示我的血液中冰淇淋浓度超过 60%。真是年少轻狂啊。
./dataset/rickey/rickey_044.mp3,野人菜系是我的最爱。没错，这些来自严寒北方的朋友非常精通厨艺。从炖肉到腌菜，从五层三明治到当地特色馅饼，无一不让你垂涎欲滴。终究是冰冷的手才能做出最酷的馅饼啊。另外那里真是太冷了！这种馅饼最传统的做法是以鳝鱼为主料，用高山香料提香，非常值得一试。这就是野人的地道美食。
./dataset/rickey/rickey_046.mp3,我到皇家跌落酒店的时候已经饿得前胸贴后背了。我在房间里的小厨房烤了土司，狼吞虎咽地饱餐了一顿。我出去散了一圈步后回到房间，震惊地发现面包屑消失得一粒不剩、床铺被整理得平平整整、洗手间被擦得明光锃亮。所有人逗留过的痕迹都被…… 抹去了。你不禁怀疑自己：我真的来过这儿吗？我是真实存在的吗？发人深省。
./dataset/rickey/rickey_048.mp3,这次旅行的主题是当地美食和文化特色。一个人随便点的法式酥盒，可能对另一个人来说就是颠覆三观的灌顶惊雷。有史以来，烟熏镇的居民们一直本分地传承着他们的美食——在鱼上面撒粉抹面。但是，最近新开的一家名为 “面糊糊” 的餐厅，研发了一道口味独到的菜品——起司鱼碎酥壶。我可以负责任地告诉大家，这是本主持人吃过的芝士味最浓的鱼。它赢了。
./dataset/rickey/rickey_050.mp3,这就是我在这座人杰地灵但又让人捉摸不透的县城中经历的美食之旅。希望听了今天的节目，你跟我一样喜欢这段旅程。说了这么久的美食，我都饿了。我要去冰箱拿出我第一个找到的食物，抹上厚厚的蛋黄酱，美美饱餐一顿。下次再见喽。我是瑞奇 · 霍桑。感谢收听！
./dataset/rickey/rickey_052.mp3,您正在收听的是双点广播电台。我是瑞奇 · 霍桑。现在的时间是——请给我一首歌的时间。等我看看表，再为您准点报时。
./dataset/rickey/rickey_054.mp3,习惯是个很奇怪的东西。多年养成的习惯有时说变就变。最近，我每天早上都要吃一碗猪肉卷。广告说的没错，早上我需要多遇见几头猪！下一首歌，送给猪肉卷女士。
./dataset/rickey/rickey_056.mp3,最近我在回家的路上，被一群学狗叫的学生追到了树上，结果出于原始的自保本能，我也跟野猫一样对着他们嘶嘶叫。后来我才知道，那好像是某个社团的入社仪式。呵呵，这么一想，感觉也挺好玩的，哈…… 哎呀，年轻人哪，就爱调皮捣蛋。
./dataset/rickey/rickey_058.mp3,您正在收听的是双点广播电台。我是瑞奇 · 霍桑。接下来为您播报天气。尖点山天气寒冷，请您注意保暖。建议您出门多穿一双鞋。您可以考虑加穿一对雪橇。虽然雪橇不保暖，但它至少有个薄薄的平底啊。放音乐。
./dataset/rickey/rickey_060.mp3,我最近加入了一个业余管道俱乐部。哎呀，真是太好玩了。管道、工具，还有水阀爆裂时水流迸发的声音。竞争比拼是一方面，如果家里管道出问题了，这一技能也能派上用场，只要有耐心、没经验，就不怕搞不坏它。
./dataset/rickey/rickey_062.mp3,今日新闻。流行歌星贾思敏 · 奥德赛在某社交平台发表了一张锅铲的照片，引发网友热议。粉丝们分为两大阵营。一方认为这张照片跟她的新歌有关；另一方认为这是一场厨房意外。双方争论不休，究竟孰对孰错，答案尚未可知。但可以肯定的是，我们的讨论将持续数日。
./dataset/rickey/rickey_064.mp3,节目到这里，又要跟大家说再见了。明天同一时间、同一内容，不见不散。让我们为节目、为永不停歇的时间、为双点县举杯。节目的最后，是一段带劲的音乐。晚安。
./dataset/rickey/rickey_066.mp3,听众朋友们，大家好。我是瑞奇 · 霍桑，欢迎收听双点广播电台。今天，我们为大家准备了一个问题：没什么新闻的一天会产生可有可无的问题吗？精彩不容错过。
./dataset/rickey/rickey_068.mp3,本周末，跃动骑士将做客我们的节目。这几个金属疯克音乐人不仅散发着英勇精神，还不乏时尚气息。他们的音乐亦是如此。骑士和骑士精神最早出现在几百年前并且风靡一时。几百年前的流行元素在今天又重获新生，想来还挺有意思。小伙伴们，请保持你的风度。
